property_id,property_name,parent_account,segment,week_start,sessions,conversions,conv_rate
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-03-04,656,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-03-11,2640,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-03-18,2608,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-03-25,1835,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-04-01,2034,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-04-08,2643,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-04-15,3128,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-04-22,2877,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-04-29,2404,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-05-06,3581,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-05-13,3368,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-05-20,3882,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-05-27,3350,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-06-03,4018,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-06-10,3726,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-06-17,3572,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-06-24,3462,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-07-01,3015,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-07-08,3009,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-07-15,3547,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-07-22,2775,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-07-29,2863,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-08-05,2982,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-08-12,2859,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-08-19,2992,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-08-26,3063,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-09-02,3385,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-09-09,2990,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-09-16,2754,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-09-23,4282,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-09-30,3636,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-10-07,3338,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-10-14,2922,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-10-21,3034,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-10-28,2177,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-11-04,3441,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-11-11,4018,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-11-18,3181,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-11-25,3884,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-12-02,3431,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-12-09,3873,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-12-16,914,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,,2024-12-23,442,0.0,0.0
