property_id,property_name,parent_account,week_start,sessions,conversions,conv_rate
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-03-31,718,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-04-07,2229,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-04-14,1750,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-04-21,2467,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-04-28,2071,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-05-05,2202,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-05-12,1856,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-05-19,2337,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-05-26,2127,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-06-02,2223,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-06-09,2031,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-06-16,1874,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-06-23,652,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-06-30,659,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-07-07,1046,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-07-14,1081,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-07-21,724,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-07-28,785,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-08-04,833,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-08-11,709,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-08-18,1215,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-08-25,1672,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-09-01,1816,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-09-08,2234,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-09-15,1800,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-09-22,2621,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-09-29,1983,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-10-06,2712,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-10-13,2636,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-10-20,2818,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-10-27,2239,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-11-03,2530,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-11-10,2893,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-11-17,3180,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-11-24,3941,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-12-01,3157,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-12-08,2495,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-12-15,2209,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-12-22,1071,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2025-12-29,1041,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-01-05,1104,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-01-12,2143,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-01-19,2973,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-01-26,2806,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-02-02,2391,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-02-09,2552,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-02-16,3176,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-02-23,3541,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-03-02,2554,0.0,0.0
304644039,NEFUNGUJE - GA4 - LEONESS,LEONESS,2026-03-09,2450,0.0,0.0
